Date,ObservedsfcWindmax,ModelsfcWindmax
1988-03-16,33,31.0496544
1988-03-17,22,16.87998348
1988-03-18,31,28.2399012
1988-03-19,30,33.272938800000006
1988-03-20,37,34.375176
1988-03-21,22,37.721487599999996
1988-03-22,24,33.1282368
1988-03-23,43,12.475519920000002
1988-03-24,19,16.853417999999998
1988-03-25,19,29.147129999999997
1988-03-26,24,40.85027640000001
1988-03-27,43,36.0612576
1988-03-28,26,46.2309624
1988-03-29,28,36.8402904
1988-03-30,52,48.96972
1988-03-31,19,17.62783488
1988-04-01,19,33.57945
1988-04-02,26,41.358610799999994
1988-04-03,15,33.60672720000001
1988-04-04,22,20.655576
1988-04-05,13,35.959323600000005
1988-04-06,28,36.9356112
1988-04-07,37,23.206338
1988-04-08,44,41.89306679999999
1988-04-09,26,26.93020428
1988-04-10,17,18.3474072
1988-04-11,20,30.5678844
1988-04-12,19,32.66150760000001
1988-04-13,26,43.4548476
1988-04-14,39,24.71770548
1988-04-15,30,20.09226024
1988-04-16,33,22.0794156
1988-04-17,52,22.55997348
1988-04-18,41,28.8217836
1988-04-19,35,26.89452
1988-04-20,28,17.5382424
1988-04-21,37,16.00748172
1988-04-22,28,19.17235296
1988-04-23,28,21.53516184
1988-04-24,39,16.98037416
1988-04-25,19,26.241540120000003
1988-04-26,37,31.738665600000008
1988-04-27,43,26.458570799999997
1988-04-28,22,27.94151988
1988-04-29,31,24.2651322
1988-04-30,19,21.1879116
1988-05-01,19,26.77223268
1988-05-02,22,55.727197200000006
1988-05-03,20,47.309958
1988-05-04,20,16.3245438
1988-05-05,22,34.4244672
1988-05-06,33,28.3718664
1988-05-07,28,25.5075228
1988-05-08,15,18.74793708
1988-05-09,35,28.0775664
1988-05-10,30,43.75562040000001
1988-05-11,33,23.9554908
1988-05-12,37,28.58108184
1988-05-13,44,24.87946680000001
1988-05-14,20,20.44485
1988-05-15,26,18.84702348
1988-05-16,20,18.7592832
1988-05-17,20,21.5773092
1988-05-18,24,26.27325
1988-05-19,33,23.2733772
1988-05-20,13,19.19475648
1988-05-21,17,19.7745588
1988-05-22,15,19.9347354
1988-05-23,24,30.263382
1988-05-24,33,30.919680000000003
1988-05-25,39,22.512236399999995
1988-05-26,24,29.5696026
1988-05-27,26,30.312687600000004
1988-05-28,19,21.36637584
1988-05-29,13,27.426441600000004
1988-05-30,28,15.97568652
1988-05-31,22,33.51563280000001
1988-06-01,41,17.33401548
1988-06-02,17,13.75632144
1988-06-03,24,31.369231800000005
